686 Закрыто 40702810338000016190_253 1579 Закрыто 40702810338000016190_642
686 Закрыто 40702810338000016190_253 1580 Закрыто 40702810338000016190_643
1588 Перевод собственных средств%внешн%НДС не облагается% 40702810138260110146_29 1589 Перевод собственных средств%внешн%НДС не облагается% 40702810138260110146_30
1595 %Перечисление собственных средств%40702810838000176970%НДС не облагается% 40702810138260110146_31 1596 %Перечисление собственных средств%40702810838000176970%НДС не облагается% 40702810138260110146_32
2127 Свободный номер 40702810338000016190_872 2128 Свободный номер 40702810338000016190_873
2127 Свободный номер 40702810338000016190_872 2129 Свободный номер 40702810338000016190_874
2140 %Перевод собственных средств внешн.%НДС не облагается% 40702810701850000923_32 2141 %Перевод собственных средств внешн.%НДС не облагается% 40702810701850000923_33
1452 %Перевод собственных средств,% 40702810001850000924_01 2145 %Перевод собственных средств,% 40702810001850000924_06
2389 %Перевод%%собственных%%средств%%внеш% 40702810200480044088_01 2390 %Перевод%%собственных%%средств%%внеш% 40702810200480044088_02
2395 %еревод% %руиз контро% 40702810300000232328_05 2396 %еревод% %руиз контро% 40702810300000232328_06
2435 %еревод собственных средств%%внешн% 40702810200480033947_001 2436 %еревод собственных средств%%внешн% 40702810200480033947_002
2432 %Перечисление средств по депозиту% 40702810200480044088_07 2496 %Перечисление средств по депозиту% 40702810200480044088_10
2643 %Перечисление собственных средств%40702810338000016190%НДС не облагается% 40702810138260110146_42 2644 %Перечисление собственных средств%40702810338000016190%НДС не облагается% 40702810138260110146_43
2021 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%002% 40702810103800000578_6 2650 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%002% 40702810103800000578_339
2022 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%002% 40702810103800000578_7 2651 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%002% 40702810103800000578_340
2023 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%002% 40702810103800000578_8 2652 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%002% 40702810103800000578_341
1859 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%006% 40702810103800000578_98 2654 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%006% 40702810103800000578_343
1860 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%006% 40702810103800000578_99 2655 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%006% 40702810103800000578_344
1861 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%006% 40702810103800000578_100 2656 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%006% 40702810103800000578_345
2037 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%023% 40702810103800000578_22 2666 VTBACQ1%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%023% 40702810103800000578_355
2038 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%023% 40702810103800000578_23 2667 VTBACQ2%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%023% 40702810103800000578_356
2039 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%023% 40702810103800000578_24 2668 VTBACQ3%ВОЗМЕЩЕНИЕ%ПО%ЭКВАЙР%ИНГ%ДОГОВОР%КОМИССИЯ ПО ОПЕРАЦИЯМ%РУБ%ВОЗВРАТ ПОКУПКИ%РУБ%МАГАЗИН%LM%023% 40702810103800000578_357
